,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,Total,,136,96,0,0,0,,Total,,114,48,0,0,0,,Total,,136,66,0,0,0,,Total,,143,50,0,0,0,,Total,,164,90,0,0,0,,Total,,158,82,0,0,0,,Total,,217,121,0,0,0,,Total,,229,71,0,0,0,,Total,,91,91,0,0,0,,Total,,71,59,0,0,0,,Total,,96,91,54,40,0,,Total,,94,87,72,101,0,,,,"57,50%","33,19%","4,39%","4,92%","0,00%"
,Media,,"4,39","3,1",0,0,0,,Media,,"3,93","1,66",0,0,0,,Media,,"4,39","2,13",0,0,0,,Media,,"4,77","1,67",0,0,0,,Media,,"5,29","2,9",0,0,0,,Media,,"5,27","2,73",0,0,0,,Media,,7,"3,9",0,0,0,,Media,,"7,39","2,29",0,0,0,,Media,,"3,03","3,03",0,0,0,,Media,,"2,29","1,9",0,0,0,,Media,,"3,1","2,94","1,74","1,29",0,,Media,,"3,03","2,81","2,32","3,26",0,,Progresión,,"1649,8","952,65","127,75","142,35",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lunes,,7,11,0,0,0,,Lunes,,11,0,0,0,0,,Lunes,,11,7,0,0,0,,Lunes,,12,5,0,0,0,,Lunes,,9,10,0,0,0,,Lunes,,9,2,0,0,0,,Lunes,,12,8,0,0,0,,Lunes,,27,12,0,0,0,,Lunes,,0,0,0,0,0,,Lunes,,5,4,0,0,0,,Lunes,,1,5,3,0,0,,Lunes,,10,3,3,9,0,,Lunes,196,114,67,6,9,0
,Ø Lunes,,"1,4","2,2",0,0,0,,Ø Lunes,,"2,75",0,0,0,0,,Ø Lunes,,"2,75","1,75",0,0,0,,Ø Lunes,,3,"1,25",0,0,0,,Ø Lunes,,"1,8",2,0,0,0,,Ø Lunes,,"2,25","0,5",0,0,0,,Ø Lunes,,3,2,0,0,0,,Ø Lunes,,"5,4","2,4",0,0,0,,Ø Lunes,,0,0,0,0,0,,Ø Lunes,,1,"0,8",0,0,0,,Ø Lunes,,"0,25","1,25","0,75",0,0,,Ø Lunes,,"2,5","0,75","0,75","2,25",0,,Ø Lunes,"376,00%","2,19","1,28","0,12","0,17","0,00"
,% Lunes,,"5,1%","11,5%",,,,,% Lunes,,"9,6%","0,0%",,,,,% Lunes,,"8,1%","10,6%",,,,,% Lunes,,"8,4%","10,0%",,,,,% Lunes,,"5,5%","11,1%",,,,,% Lunes,,"5,7%","2,4%",,,,,% Lunes,,"5,5%","6,6%",,,,,% Lunes,,"11,8%","16,9%",,,,,% Lunes,,"0,0%","0,0%",,,,,% Lunes,,"7,0%","6,8%",,,,,% Lunes,,"1,0%","5,5%","5,6%","0,0%",,,% Lunes,,"10,6%","3,4%","4,2%","8,9%",,,% Lunes,"6,8%","6,9%","7,0%","4,8%","6,4%",
,% liderazgo,,"63,6%","100,0%","0,0%","0,0%","0,0%",,% liderazgo,,"100,0%","0,0%","0,0%","0,0%","0,0%",,% liderazgo,,"61,1%","38,9%","0,0%","0,0%","0,0%",,% liderazgo,,"34,3%","14,3%","0,0%","0,0%","0,0%",,% liderazgo,,"25,7%","28,6%","0,0%","0,0%","0,0%",,% liderazgo,,"25,7%","5,7%","0,0%","0,0%","0,0%",,% liderazgo,,"34,3%","22,9%","0,0%","0,0%","0,0%",,% liderazgo,,"77,1%","34,3%","0,0%","0,0%","0,0%",,% liderazgo,,"0,0%","0,0%","0,0%","0,0%","0,0%",,% liderazgo,,"14,3%","11,4%","0,0%","0,0%","0,0%",,% liderazgo,,"2,9%","14,3%","8,6%","0,0%","0,0%",,% liderazgo,,"28,6%","8,6%","8,6%","25,7%","0,0%",,% liderazgo,"0,1%","0,1%","0,1%","0,1%","0,1%",
,Martes,,17,16,0,0,0,,Martes,,18,4,0,0,0,,Martes,,12,1,0,0,0,,Martes,,12,6,0,0,0,,Martes,,24,18,0,0,0,,Martes,,11,9,0,0,0,,Martes,,19,11,0,0,0,,Martes,,28,14,0,0,0,,Martes,,8,4,0,0,0,,Martes,,3,0,0,0,0,,Martes,,7,14,4,5,0,,Martes,,7,2,7,16,0,,Martes,297,166,99,11,21,0
,Ø Martes,,"4,25",4,0,0,0,,Ø Martes,,"4,5",1,0,0,0,,Ø Martes,,"2,4","0,2",0,0,0,,Ø Martes,,3,"1,5",0,0,0,,Ø Martes,,"4,8","3,6",0,0,0,,Ø Martes,,"2,75","2,25",0,0,0,,Ø Martes,,"4,75","2,75",0,0,0,,Ø Martes,,"5,6","2,8",0,0,0,,Ø Martes,,2,1,0,0,0,,Ø Martes,,"0,75",0,0,0,0,,Ø Martes,,"1,4","2,8","0,8",1,0,,Ø Martes,,"1,75","0,5","1,75",4,0,,Ø Martes,"570,00%","3,18","1,90","0,21","0,40","0,00"
,% Martes,,"12,5%","16,7%",,,,,% Martes,,"15,8%","8,3%",,,,,% Martes,,"8,8%","1,5%",,,,,% Martes,,"8,4%","12,0%",,,,,% Martes,,"14,6%","20,0%",,,,,% Martes,,"7,0%","11,0%",,,,,% Martes,,"8,8%","9,1%",,,,,% Martes,,"12,2%","19,7%",,,,,% Martes,,"8,8%","4,4%",,,,,% Martes,,"4,2%","0,0%",,,,,% Martes,,"7,3%","15,4%","7,4%","12,5%",,,% Martes,,"7,4%","2,3%","9,7%","15,8%",,,% Martes,"10,4%","10,1%","10,4%","8,7%","14,9%",
