BIRRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,,,,,,,
,Total,,70,59,17,58,,,Total,,79,61,31,81,,,Total,,90,86,58,106,,,Total,,116,97,62,122,,,Total,,154,79,64,126,,,Total,,136,104,50,127,,,Total,,110,93,80,142,,,Total,,147,111,77,171,,,Total,,113,126,56,92,,,Total,,132,90,60,76,,,Total,,117,76,42,65,,,Total,,189,116,53,90,30,,,,"32,38%","24,47%","14,49%","27,99%","0,67%",,,,,,
,Media,,"2,26","1,9","0,55","1,87",,,Media,,"2,82","2,18","1,11","2,89",,,Media,,"2,9","2,77","1,87","3,42",,,Media,,"3,87","3,23","2,07","4,07",,,Media,,"4,97","2,55","2,06","4,06",,,Media,,"4,53","3,47","1,67","4,23",,,Media,,"3,55",3,"2,58","4,58",,,Media,,"4,74","3,58","2,48","5,52",,,Media,,"3,77","4,2","1,87","3,07",,,Media,,"4,26","2,9","1,94","2,45",,,Media,,"3,77","2,45","1,35","2,1",,,Media,,"6,1","3,74","1,71","2,9","3,75",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFC,JCR,JSP,DMP
,Lunes,,4,4,0,1,0,,Lunes,,0,0,0,2,0,,Lunes,,6,11,1,7,0,,Lunes,,2,0,0,9,0,,Lunes,,13,6,13,9,0,,Lunes,,8,5,0,2,0,,Lunes,,10,3,5,12,0,,Lunes,,18,12,7,21,0,,Lunes,,6,5,0,2,0,,Lunes,,14,0,3,5,0,,Lunes,,4,1,4,0,0,,Lunes,,21,0,6,4,2,,Lunes,268,106,47,39,74,2,,Lunes,106,47,39,74
,Ø Lunes,,"0,8","0,8",0,"0,2",0,,Ø Lunes,,0,0,0,"0,5",0,,Ø Lunes,,"1,5","2,75","0,25","1,75",0,,Ø Lunes,,"0,5",0,0,"2,25",0,,Ø Lunes,,"2,6","1,2","2,6","1,8",0,,Ø Lunes,,2,"1,25",0,"0,5",0,,Ø Lunes,,2,"0,6",1,"2,4",0,,Ø Lunes,,"4,5",3,"1,75","5,25",0,,Ø Lunes,,"1,5","1,25",0,"0,5",0,,Ø Lunes,,"2,8",0,"0,6",1,0,,Ø Lunes,,1,"0,25",1,0,0,,Ø Lunes,,"5,25",0,"1,5",1,"0,5",,Ø Lunes,"5,14","2,03","0,9","0,75","1,42","0,04",,Martes,"7,3%","4,3%","6,0%","5,9%"
,% Lunes,,"5,7%","6,8%","0,0%","1,7%",,,% Lunes,,"0,0%","0,0%","0,0%","2,5%",,,% Lunes,,"6,7%","12,8%","1,7%","6,6%",,,% Lunes,,"1,7%","0,0%","0,0%","7,4%",,,% Lunes,,"8,4%","7,6%","20,3%","7,1%",,,% Lunes,,"5,9%","4,8%","0,0%","1,6%",,,% Lunes,,"9,1%","3,2%","6,3%","8,5%",,,% Lunes,,"12,2%","10,8%","9,1%","12,3%",,,% Lunes,,"5,3%","4,0%","0,0%","2,2%",,,% Lunes,,"10,6%","0,0%","5,0%","6,6%",,,% Lunes,,"3,4%","1,3%","9,5%","0,0%",,,% Lunes,,"11,1%","0,0%","11,3%","4,4%","6,7%",,% Lunes,"6,0%","7,3%","4,3%","6,0%","5,9%","6,7%",,Miércoles,121,98,59,110
,% liderazgo,,"44,4%","44,4%","0,0%","11,1%","0,0%",,% liderazgo,,"0,0%","0,0%","0,0%","100,0%","0,0%",,% liderazgo,,"24,0%","44,0%","4,0%","28,0%","0,0%",,% liderazgo,,"18,2%","0,0%","0,0%","81,8%","0,0%",,% liderazgo,,"31,7%","14,6%","31,7%","22,0%","0,0%",,% liderazgo,,"53,3%","33,3%","0,0%","13,3%","0,0%",,% liderazgo,,"33,3%","10,0%","16,7%","40,0%","0,0%",,% liderazgo,,"31,0%","20,7%","12,1%","36,2%","0,0%",,% liderazgo,,"46,2%","38,5%","0,0%","15,4%","0,0%",,% liderazgo,,"63,6%","0,0%","13,6%","22,7%","0,0%",,% liderazgo,,"44,4%","11,1%","44,4%","0,0%","0,0%",,% liderazgo,,"63,6%","0,0%","18,2%","12,1%","6,1%",,% liderazgo,"100,0%","39,6%","17,5%","14,6%","27,6%","0,7%",,Jueves,"8,3%","8,9%","9,1%","8,8%"
,Martes,,10,8,0,4,0,,Martes,,5,2,6,9,0,,Martes,,4,3,6,3,0,,Martes,,8,7,4,11,0,,Martes,,16,15,8,20,0,,Martes,,4,9,4,5,0,,Martes,,11,5,11,14,0,,Martes,,20,7,6,21,0,,Martes,,10,15,7,6,0,,Martes,,12,14,7,4,0,,Martes,,10,2,0,4,0,,Martes,,11,11,0,9,0,,Martes,388,121,98,59,110,0,,Viernes,137,105,77,167
,Ø Martes,,2,"1,6",0,"0,8",0,,Ø Martes,,"1,25","0,5","1,5","2,25",0,,Ø Martes,,1,"0,75","1,5","0,75",0,,Ø Martes,,2,"1,75",1,"2,75",0,,Ø Martes,,"3,2",3,"1,6",4,0,,Ø Martes,,1,"2,25",1,"1,25",0,,Ø Martes,,"2,75","1,25","2,75","3,5",0,,Ø Martes,,4,"1,4","1,2","4,2",0,,Ø Martes,,"2,5","3,75","1,75","1,5",0,,Ø Martes,,"2,4","2,8","1,4","0,8",0,,Ø Martes,,"2,5","0,5",0,1,0,,Ø Martes,,"2,75","2,75",0,"2,25",0,,Ø Martes,"7,44","2,32","1,88","1,13","2,11",0,,Sábado,"9,4%","9,6%","11,8%","13,3%"
,% Martes,,"14,3%","13,6%","0,0%","6,9%",,,% Martes,,"6,3%","3,3%","19,4%","11,1%",,,% Martes,,"4,4%","3,5%","10,3%","2,8%",,,% Martes,,"6,9%","7,2%","6,5%","9,0%",,,% Martes,,"10,4%","19,0%","12,5%","15,9%",,,% Martes,,"2,9%","8,7%","8,0%","3,9%",,,% Martes,,"10,0%","5,4%","13,8%","9,9%",,,% Martes,,"13,6%","6,3%","7,8%","12,3%",,,% Martes,,"8,8%","11,9%","12,5%","6,5%",,,% Martes,,"9,1%","15,6%","11,7%","5,3%",,,% Martes,,"8,5%","2,6%","0,0%","6,2%",,,% Martes,,"5,8%","9,5%","0,0%","10,0%","0,0%",,% Martes,"8,6%","8,3%","8,9%","9,1%","8,8%","0,0%",,Domingo,179,125,74,194
